sentence,nsubj,root,split
"Denizin okşadığı kumsallarda kilometrelerce uzanan kadife gibi yumuşak , allı morlu plajlar ...",['Denizin'],['plajlar'],train
"Bu bahsettiğim ruh hali de erkek dünyada kadınlara özgü bir defo olarak algılanır ve kadınlar da kendilerini en çok erkeklerin önünde "" gerçekleştirdiklerinden "" erkeklere inanır ve bu ruh halini benimserler .","['hali', 'kadınlar']",['algılanır'],train
Siz hiç sokakta dişi köpek - erkek köpek sevişmesi gördünüz mü ? Hiç yüzünüzü buruşturmayın .,['Siz'],['gördünüz'],train
Sevgili İlhan Tunalı ağabey dedi ki ...,['İlhan'],['dedi'],train
Toplum dağılır .,['Toplum'],['dağılır'],train
Başında belki bir cumhurbaşkanı da olacaktır .,['cumhurbaşkanı'],['olacaktır'],train
"Türkiyem mavi beyaz ... """,['Türkiyem'],['beyaz'],train
Onun da ekseni kayıyordu kayıyor du .,['ekseni'],['kayıyor'],train
Üzerlik Tohumu : Dulkarı otu gibi kokar ama tadı daha çok Kırımtartar'a benzer .,['tadı'],['Tohumu'],train
"MEDYA VE SİYASET Yolun bir yarısında insani ne varsa boşandı bedenimizden , geriye ağır bir boşluk kaldı .",['boşluk'],['boşandı'],train
"Che'nin yaşamından çıkarılabilecek en sahici derslerden birini , bir sanatçı çıkarmıştı çıkarmış tı .",['sanatçı'],['çıkarılabilecek'],train
Ortağı Nevşehirli olan Aydın Aydoğan ile 1992'de tanıştı ve o günden bugüne dostluğunu sürdürüyor .,['Ortağı'],['tanıştı'],train
Ben de büyüyünce astronot olacağım .,['Ben'],['olacağım'],train
"Aynı röportajda , "" gözlerimi açmama yardımcı oldu "" dediği eski dostu general Perez Arcay'ın verdiği öğüdü ise şöyle aktaracaktı aktar acaktı : "" Hugo yaşlı bir bilge olmalısın .",['Perez'],['aktar'],train
"Kâtip Lütfi'nin bugüne kadar bir tutuklu ya da hükümlüye tokat attığı duyulmamış , ama bu kez atmak için fırsat kolluyor .",['Kâtip'],['duyulmamış'],train
"Bu özellikleri nedeniyle matematik öğretmeni Yüzbaşı Mustafa Efendi , ona "" olgun "" anlamına gelen Kemal adını verdi .",['Mustafa'],['verdi'],train
"Josephine Cochrane'ın arkadaşları , bulaşık makinesine "" Cochrane bulaşık makinesi "" adını koyarlar .",['arkadaşları'],['koyarlar'],train
"Hâlbuki komşumuzun oğlu , annemin verdiği o eski çantayı , kıymetli bir eşyayı taşır gibi kucağından indirmiyordu indirmiyor du .",['oğlu'],['indirmiyor'],train
"Hatta bu dehlizlerden birine Yerebatan Sarayı'nın gizli bir yerinden giriliyormuş giriliyor muş ve tünel , denizin altından da geçerek Üsküdar'a , oradan da Kınalıada'ya kadar gidiyormuş gidiyor muş .",['tünel'],['giriliyor'],train
"Bakınız , bugün bu memlekette İmam - Hatip Okulları kapatılmıştır .",['Okulları'],['kapatılmıştır'],train
"Canan , "" Bölgede İran Şiilerle birlikte politika yapıyor .",['İran'],['Canan'],train
"Bu nedenle pazartesi günü Ankara'daki Ankara'da ki "" İzmir İstişare Toplantısı "" görkemli bir biçimde kalabalıktı kalabalık tı ...",['Toplantısı'],['kalabalık'],train
Bakmasın bakalım hanımefendi .,['hanımefendi'],['Bakmasın'],train
Geceleri gündüzleri günün 24 saati hep aklımda o vardı .,['o'],['vardı'],train
Kent bizi gökkuşağı gibi sarmalıyor .,['Kent'],['sarmalıyor'],train
"Bir gün birine bir şey diyorsun , ertesi gün başka biri gelip "" nasıl gidiyor , boşanman sonuçlandı mı "" diyor , güldürüyor beni .",['biri'],['diyorsun'],train
"KENDİLERİNE YETİŞTİĞİM VE FEYİZ ALDIĞIM SON OSMANLI ALİMLERİ Poe , yazılardan yaptığı denizaltılarla , duyduğu acıdan uzaklaşmasına , istediği derine inmesine imkân olmadığını düşünüp içkiden yeni denizaltılar yaptı .",['FEYİZ'],['VE'],train
Bizim yurdumuz eskiden o yerlerde imiş ...,['yurdumuz'],['imiş'],train
"Türkiye'nin büyük bir bölümü soğuk hava ve karla boğuşurken boğuşur ken , Bodrum'da bahar havası yaşanıyor .",['havası'],['yaşanıyor'],train
"Ancak bu , genel bir yanılgının , Türkiye'de sağlık hizmetlerinin ve psikiyatrinin ele alınış biçiminin , Bakırköy özeline yansımasıdır .","['bu', 'hizmetlerinin']",['yansımasıdır'],train
70 milyon Türkiye bu .,['Türkiye'],['bu'],train
"Ayak üzerine binen vücudun bütün ağırlığı , uzunluğuna kavis boyunca yayılır .",['ağırlığı'],['yayılır'],train
"- Bir kuruma giren para , kuşkusuz kurumun yararına kullanılır .",['para'],['kullanılır'],train
İnsan topluluklarının yer değiştirmesiyle birlikte bu danslar başka bölgelere de yayılmış .,"['topluluklarının', 'danslar']",['yayılmış'],train
"Bunlardan biri , deprem öncesi evde alınacak önlemlerdir .",['biri'],['önlemlerdir'],train
Truman Doktrini komünistlerin bu taleplerinin önünü kesmişti kesmiş ti gerçi .,['Doktrini'],['kesmiş'],train
"Kral Kzikos'un kurduğu bu şehirde , bir zamanlar "" Hadrianus Tapınağı "" varmış .",['Kral'],['varmış'],train
B . Eşyalarımı karıştırmaya hakkın yok !,['hakkın'],['yok'],train
Biri yarı şaka yarı ciddi :,['Biri'],['şaka'],train
"Ama bir yıl sonra umutlar soluyor "" Sistem "" onları da tutsak ediyor .",['Sistem'],['Ama'],train
"Maliye Bakanı , Tes - İş Başkanlar Kurulu toplantısında yaptığı konuşmada , enerjideki enerjide ki özelleştirme işlemlerini kötü bir uygulama olarak değerlendirdi değerlendir di .",['Bakanı'],['değerlendir'],train
"Ama biz dosttuk ve yine dost kalabiliriz "" diye seslenmiş çaresizce .",['biz'],['Ama'],train
27 ülkede iştiraki ve 15 ülkede ortaklığı bulunan şirketin 60 bin çalışanı var .,"['iştiraki', 'çalışanı']",['var'],train
"Birden , içinde bir kıvılcımın çaktığını hissetti .",['kıvılcımın'],['hissetti'],train
"Pfizer kaynakları , Viagra'nın piyasaya sürüldüğü 1998 yılından beri ilacın kadınlar için etkili olacak muadilini geliştirmek için de tüm dünyada en azından 10 şirketin araştırmalar yürüttüğünü , kendilerinin de bu yönde çabalarının sürdüğünü belirtiyorlar .","['kaynakları', ""Viagra'nın"", 'şirketin', 'çabalarının']",['belirtiyorlar'],train
- Onu bilmeyecek ne var ! Yeşim yanarsa yanar sa başından aşağı bir kova su boşaltırım .,"['ne', 'Yeşim']",['var'],train
Turhan İstanbul'da ilk tatil gününü halifenin Cuma Alayı'nı seyretmeye ayırdı ayır dı .,['Turhan'],['ayır'],train
"* Geçici personel , her ay için bir gün ücretli izne hak kazanacak .",['personel'],['hak'],train
Su en güzel günlerdeki günlerde ki gibi pırıl pırıl .,['Su'],['pırıl'],train
Sakat ve cezalı çok,['Sakat'],['çok'],train
""" Bu Sevgililer Günü'nde de ayıcık almak istemiyorum "" diyenlerin yardımına ise giyim mağazaları koşuyor .",['mağazaları'],['koşuyor'],train
"Netice itibarıyla müşteri memnuniyeti aslında tek tek müşterilerin değil , pazarın memnuniyetini ölçer .",['memnuniyeti'],['ölçer'],train
"Mağara'nın ilk öyküsü İkinci Hasan , Papirüs dergisinde yayınlanınca Papirüs'ü okuyan kızlı - erkekli bir öğrenci kesiminde - onların evrensel gerçeklerini yansıttığından - büyük bir yankı uyandırır .",['öyküsü'],['uyandırır'],train
"Sanatçı konuya değinmedi , gözleri dolu dolu şunları söyledi : "" Benim için Zeki ölmedi ; yaşıyor .""","['Sanatçı', 'gözleri', 'Zeki']",['değinmedi'],train
"Bense Ben se , "" daha güzel olmasına gerek yok "" diye direnirdim direnir dim .",['Ben'],['direnir'],train
"Bunlar arasında , soyluluk , neredeyse Ortaçağ ile özdeşleşmiştir .",['soyluluk'],['özdeşleşmiştir'],train
"Gittiği her seçim bölgesinde ve televizyon konuşmalarında çekilme konusunu işleyen Çiller , farkı üçe çıkararak Yılmaz'dan noter destekli imza istiyor .",['Çiller'],['istiyor'],train
Peşinden First Lady ekrana getirildi ...,['First'],['getirildi'],train
Fakat onlar genellikle akışkan ve hatta Salvador Dali'nin The Persistence of Memory resmindeki resminde ki eriyen saat gibidirler .,['onlar'],['gibidirler'],train
Durumu alenen yer çekimine karşı .,['Durumu'],['yer'],train
Bu gece bize yetmezdi yetmez di .,['gece'],['yetmez'],train
"Bankada Çukurova Grubu'na ait bulunan yüzde 45'lik hissenin 5.5 puanlık bir kısmı , Çukurova bünyesindeki bünyesinde ki Genel Sigorta'da bulunuyor , ancak sigorta mevzuatı gereği bu pay satılamıyor .","['kısmı', 'pay']",['bulunuyor'],train
"Ama "" tükürülesi "" heykeller adım başı .",['heykeller'],['başı'],train
Ansiklopediler en alt raftadır .,['Ansiklopediler'],['raftadır'],train
Atatürk ne demiş : Baykal'ın yaptığı ve söylediği hiçbir şey kimseyi şaşırtmıyordur artık herhalde .,"['Atatürk', ""Baykal'ın"", 'şey']",['demiş'],train
Kredi kullanımı şirketler ve tüketicilerde düşük .,['kullanımı'],['düşük'],train
- Siz yine ona gidiniz .,['Siz'],['gidiniz'],train
"Bunlar arasında radikalleşme , Londra'daki Londra'da ki 7 Temmuz saldırılarını anlatan "" 7 /7"" , Britanya'da Müslümanların yoğun yaşadığı yerleri ifade etmekte kullanılan ve giderek İslami teröre atıf haline gelen "" Londonistan "" ile Guantanamo Üssü'nü niteleyen "" Gitmo "" var .",['7'],['var'],train
"Cami Bey , 1945'te tek parti düzenine karşı çıkan Sabiha ve Zekeriya Sertel'in Tan gazetesinde yazmaya başlamıştı başlamış tı .",['Cami'],['başlamış'],train
""" Fetva ile veyahut şu , bu gibi telkinatla milleti irticaya sevketmek isteyenlerin yeri zindan olacaktır .",['yeri'],['olacaktır'],train
"İşte benim bu uyanıklık tecrübelerimin birisi , evin garajına yerleştirmiş yerleştir miş olduğum seksen adet yüksek alkollü şişenin bir akşam ardı ardına bomba gibi patlayarak paramparça olmalarıyla sonlandı .","['birisi', 'şişenin']",['sonlandı'],train
"Genel Müdür Sığın , yeni Bankalar Yasası'nın , mali sistemin uluslararası standartlara taşınmasında önemli bir adım olduğunu ifade etti .","['Sığın', ""Yasası'nın"", 'sistemin']",['ifade'],train
Öykümü ( Vahhabi Sünni Hambeli mezhebinin bir tarikatı .) Suudiler de ondan duymuşlardı duymuşlar dı .,['Suudiler'],['duymuşlar'],train
"Onun tarafından bana verilen bu görev hoşuma gidiyor , ama sınav da hayli terletici : Ya Enis Batur beni deniyorsa deniyor sa ?","['görev', 'sınav', 'Enis']",['hoşuma'],train
Bu bana çok iğrenç gelmişti gelmiş ti .,['Bu'],['gelmiş'],train
"Bundan önce de zaman zaman telefon edip , dalga geçenler , konuşmak isteyenler , arkadaşlık teklif edenler olmuştu olmuş tu ama Şeker onlardan çok çok farklı ydı .","['dalga', 'Şeker']",['olmuş'],train
Dakikalar ilerledikçe endişemiz büsbütün artıyordu artıyor du .,"['Dakikalar', 'endişemiz']",['artıyor'],train
Lorant'ın sabrı taştı,"[""Lorant'ın""]",['sabrı'],train
"Basına açık olan kısımda bir konuşma yapan Çalışma ve Sosyal Güvenlik Bakanı Murat Başesgioğlu , İş Yasası Taslağının çalışmalarına başlanıldığını ve son aşamasına gelindiğini söyledi .",['Murat'],['söyledi'],train
Atom enerjisinden söz ettiği zaman ne radyum keşfedilmiş ne de telsiz telefonla haberleşme bulunmuştu bulunmuş tu .,"['radyum', 'haberleşme']",['keşfedilmiş'],train
Felsefe sürekli sorgulanmayanı sorgular .,['Felsefe'],['sorgular'],train
"Sadece polis teşkilatının 12 saatlik vardiyalar halinde çalıştırdığı memurlarına verdiği fazla mesai ücretleri ve güvenli ekipmanı harcamaları hesaba katılırsa katılır sa ,maliyetin 2 milyon sterlini bulduğu ifade edildi .","['teşkilatının', 'ücretleri', ',maliyetin']",['ifade'],train
"İçimde , yeni bir deneme yapmanın ve başarılı olmanın rahatlığı ve sevinci vardı var dı .",['rahatlığı'],['var'],train
Yani bizim güneyimizde çok önemli bir komşu Irak .,['Irak'],['komşu'],train
Öğrenciler zaten yeteri kadar aile desteği alamıyorlar .,['Öğrenciler'],['alamıyorlar'],train
"Bunun üzerine hükümet , bir yanlış anlaşılma olduğunu söyleyerek özür dilemiş ; ancak ilişkiler bir süre eski sıcaklığından uzak kalmıştır .","['hükümet', 'ilişkiler']",['özür'],train
"Size bir mesajım , daha doğrusu sizden bir ricam var arkadaşlar .",['mesajım'],['var'],train
"Eserlerinden bazıları : Güvercin Kayaları , Beyaz Bisiklet , Sevgiyle Dönsün Dünya .",['Güvercin'],['bazıları'],train
Çocukların 18 yaşına kadar genel eğitim görmeleri gerektiği giderek kabul görmektedir .,['Çocukların'],['kabul'],train
Tren istasyonu ile limanın aynı yerde olduğu bir kasabaydı kasaba ydı burası .,"['istasyonu', 'burası']",['kasaba'],train
"Topa vuruş tekniği ve soğukkanlılığı , birçok tecrübeli futbolcuyu kıskandırıyor .",['tekniği'],['kıskandırıyor'],train
Damak zevkimin gelişmesinde babamın büyük rolü olmuştur olmuş tur yani ...,['rolü'],['olmuş'],train
Maçı yedi - sekiz kişi bağırış çağırış seyrediyorduk seyrediyor duk ; Schumacher'in hareketiyle odamızda hayat durdu .,['hayat'],['seyrediyor'],train
"KOP'un başkanı ve genel sekreteri Kıbrıs Rum toplumundan , asbaşkanı ise Türk cemaatinden seçiliyordu seçiliyor du .",['başkanı'],['seçiliyor'],train
Bilimciler çalışmaya katılan deneklerde mavi bir kare ile ilgili olumsuz anı oluşturmaya çalıştılar .,['Bilimciler'],['çalıştılar'],train
"BEN DE yaparım . "" Kum saati misali akıp giden bir ömür .",['BEN'],['ömür'],train
"Spor kulüplerinin mülkiyetinde 61 , özel kuruluşların ve kooperatiflerin mülkiyetinde birer saha kayıtlı .",['saha'],['kayıtlı'],train
"Sahne de müzik , kostüm ve makyaj gibi dansa eşlik eden önemli bir öğedir .",['Sahne'],['öğedir'],train
"Aylin , başını çevirip yana doğru baktı ve gözleri yine o kapkara delici bakışlarla buluştu .","['Aylin', 'gözleri']",['baktı'],train
Ne diyor Onat : Takvimler hala o günü gösteriyormuşçasına hissedersin ama o gün o gün değildir .,"['Onat', 'Takvimler', 'gün']",['diyor'],train
""" Baskı yoktu yok tu .",['Baskı'],['yok'],train
""" Burası kent değil , çeyiz sandığı ... """,['Burası'],['kent'],train
Bu açıklamaların açmazın doğru çözümü olup olmadığını bilmiyoruz .,['açıklamaların'],['bilmiyoruz'],train
TV'den Beklediğim Çağrı Yapıldı,['Çağrı'],['Yapıldı'],train
"Ama nedense , anlatmak istediğimiz şeylerin boyutları , biz hissettikçe çoğalır ; tam dünyayı kucaklayacakken kucaklayacak ken , dünya kucağımızdan düşer , bir kâşane gibi dağılır .","['biz', 'dünya']",['çoğalır'],train
""" Lagari Hasan Çelebi , Murad Han'ın Kaya Sultan adındaki adında ki lekesiz bir yıldızı andıran kız evlâdı dünyaya geldiği gece , bu sevince kendisini kurban etmek istedi .","['Lagari', 'evlâdı']",['istedi'],train
Akla gelebilen tüm kötücül kelimeler belleğinde cirit atıyor .,['kelimeler'],['cirit'],train
İş bitmiştir bitmiştir tir ve siz hâlâ öfkeden barut fıçısı gibisinizdir gibi sinizdir ve burnunuzdan solumaktasınızdır ...,"['İş', 'siz']",['bitmiştir'],train
Dönem Dördüncü Yasama Yılı'na bugün yapılacak törenle başlayacak .,['Dönem'],['başlayacak'],train
"Sinan Engin'in 26 Nisan'da başlayan Brezilya seferi , 6 Mayıs Pazartesi günü sona erecek .",['seferi'],['sona'],train
"İsa aleyhisselam , teklifi reddetmiştir .",['İsa'],['reddetmiştir'],train
Antep fıstığı ( şam fıstığı ),['Antep'],['fıstığı'],train
Sabaha kadar bir asker su getirdi getir di .,['asker'],['getir'],train
"Böylece namaz , oruç , zekat ve hac ibadetlerinin yerine getirilmiş olması , kişinin , imana ilişkin ilkeleri tasdik etmesi şartına bağlanmıştır , imansız ibadet boş olduğu gibi , ibadetsiz iman da boş ( karşılıksız ) sayılır .","['kişinin', 'ibadet', 'iman']",['bağlanmıştır'],train
Birçoğu daha önce başka erkek arkadaşı olmuş olsa bile flört döneminde cinsel yakınlıkları sınırlı tutmuşlar ve ahlaki ya da dini gerekçelerle cinsel birleşme denemesinde bulunmamışlardır .,"['Birçoğu', 'arkadaşı']",['tutmuşlar'],train
"Atatürk'ün çağdaş eğitim sistemi sayesinde karma sınıflarda okumaya alışmış biri olarak ben , hayatımda bir ilki daha yaşayacaktım yaşayacak tım .",['ben'],['yaşayacak'],train
Günümüz dünyasına uyarlasanıza ; maliyeye gidiyorsunuz ayakkabınızın tekini te kini veriyorsunuz ; bankaya gidiyorsunuz öbür tekini te kini de orada bırakıyorsunuz .,['ayakkabınızın'],['gidiyorsunuz'],train
"Duvarlar inip , gümrük ve fonlar sıfırlanmasına karşın , Türk halkının ucuz otomobil beklentisi gerçekleşmedi .","['Duvarlar', 'beklentisi']",['gerçekleşmedi'],train
""" Bir lisan bir insan "" deyimine sonuna kadar katılıyorum çünkü bir yabancı dil bildiğimizde ( bu hangi dil olursa olur sa olsun ) bir başka insan moduna girer gibiyiz .","['lisan', 'dil']","['""']",train
Bunun da araştırılmasını istiyorum .,['Bunun'],['istiyorum'],train
"Dumandan etkilenen 5 kişi , olay yerine gelen ambulanslarla Çorum Devlet Hastanesi'ne sevk edildi .",['kişi'],['sevk'],train
"Dünya Savaşı'nda tarafsız kalmayı tercih eden Eleutherios Venizelos , 51 yaşında iken İtilâf Devletleri'nin verdiği teminatla Çanakkale'ye kuvvet göndermeye kalkışınca , Kral Konstantinos tarafından istifaya zorlandı .","['Eleutherios', ""Devletleri'nin""]",['zorlandı'],train
"Çiftlikte pek masrafım olmayacağı için , para konusu biraz "" nane "" cinsi oldu .","['masrafım', 'konusu']",['oldu'],train
Bu grubun içindeki içinde ki gençlerin Kler'in baba korkusunun dışında hiçbir sıkıntıları ve sorunları yoktu yok tu .,['sıkıntıları'],['yok'],train
Bu ameliyatta yine kuzenim Müge vardı var dı .,['Müge'],['var'],train
"Hayvan hakları , son zamanların tartışılan konusu .",['hakları'],['konusu'],train
Benim vazifem ise bunlara hizmet etmektir etmek tir .,['vazifem'],['etmek'],train
İGDAŞ'ın kampanyası uzatıldı,['kampanyası'],['uzatıldı'],train
Bu besleyici suların en göz alanları Kerhandadır .,['alanları'],['Kerhandadır'],train
"Ne var ki , doğada serbest karbondioksit konsantrasyonu yüksek olan sular fazla değildir .","['konsantrasyonu', 'sular']",['fazla'],train
"Fakat burada şunu çok açık belirtmeliyim ki : Bütün bu benzetmeler , yol göstermeler , ona haddimiz olmadan akıl vermeler , sadece ve sadece onu düşündüğümüz , onu sevdiğimiz ve gerçek Baba'mız yerine koyduğumuz içindir .",['benzetmeler'],['belirtmeliyim'],train
"Dernek Başkanı Uschi Akın da "" yok sayıldıkları "" kanısındaydı kanısında ydı :",['Uschi'],['kanısında'],train
"AKP , AB hayali uğruna Kıbrıs'ı bir diyet olarak feda etme hazırlığı ve hesabı içinde .",['AKP'],['içinde'],train
1 . Fatih Sultan Mehmet İstanbul'a ilk kez girerken girer ken yanında kaç öğretmeni vardı ?,"['Fatih', 'öğretmeni']",['vardı'],train
"6 - 7 Eylül gecesinin açtığı yaralar , çok zor kapandı .","['gecesinin', 'yaralar']",['kapandı'],train
1996 için belirlenen hedef ise 60 trilyon lira .,['hedef'],['lira'],train
""" Cesaretiniz kırılmasın """,['Cesaretiniz'],['kırılmasın'],train
"Bahçeli , cinayet sonrasında devleti suçlu gösteren açıklamalar yapılmasını , "" Hepimiz Ermeni'yiz"" şeklinde slogan atılmasını ağır bir dille eleştirirken TÜSİAD'ın geçen hafta açıkladığı "" Demokratikleşme Raporu "" nu da hedef aldı .","['Bahçeli', 'açıklamalar', 'Hepimiz', 'slogan', ""TÜSİAD'ın""]",['hedef'],train
"Ancak zihince sağlıklı hiçbir insan , hayatının hiç bir safhasında herhangi bir ruhsal durumun etkisinden tamamen kurtulamaz .",['insan'],['kurtulamaz'],train
"Ters bir rüzgâr esti , rotamı yitirdim yitir dim .",['rüzgâr'],['esti'],train
Dünya'mızın diğer bölümü ise güneşi göremez ve Güneş ışıklarını alamaz .,['bölümü'],['göremez'],train
Vefa meşhur bozacının orası ...,['Vefa'],['orası'],train
"Azeri şoförün konuşurken konuşur ken söylediği başka bir şey daha vardı ki bu , gerçekten insanlık adına utanılacak bir şeydi şey di : Ceset ticareti .","['şoförün', 'bu']",['vardı'],train
Sen hiç padişah karısının kocasını boşayıp sadrazamla evlendiğini duydun mu ?,"['Sen', 'karısının']",['duydun'],train
"Ben ona neden ağladığını sorduğumda , bana şu yanıtı vermişti vermiş ti :",['Ben'],['vermiş'],train
Kalbim öyle hızlı atıyordu atıyor du ki sesini duyabiliyordum duyabiliyor dum .,['Kalbim'],['duyabiliyor'],train
Pamukkale Turizm Derneği ( PAMTUR ) Başkanı Nurettin Koçak ise artık personel çıkarmaya başladıklarını söyledi .,['Nurettin'],['söyledi'],train
Not defterinde Aziz Nesin yazılıdır ...,['Aziz'],['yazılıdır'],train
""" Peki , biz sevgiline bir şey diyebilir miyiz anketmen ? """,['biz'],['diyebilir'],train
"Ardından Sinha'yı ağırlayan Gül , ABD'nin Irak'a asker göndermesi talebini BM kararı olmadığı için reddeden Hindistan'la konuyu değerlendirdi değerlendir di .","['Gül', ""ABD'nin""]",['değerlendir'],train
"Hâlâ yan yana duran ve avlularından serin sular akan evlerin bulunduğu , salkım söğütlerin mütemadiyen bitişik avlulara sarktığı köylerde , kasaba ve şehirlerde komşuluktan söz edilebilir belki ...","['sular', 'evlerin', 'salkım']",['söz'],train
"Adliye girişinde basın açıklaması yapan Cabar Leygara şunları söyledi : "" Müvekkilimiz Leyla Zana'nın Diyarbakır 5'nci Ağır Ceza Mahkemesinde duruşması vardı var dı .","['Cabar', 'duruşması']",['söyledi'],train
Gerek yeraltı ve gerek işlem görmüş yerüstü sularının alimantasyona verilebilmesi için temizliklerinin isbat edilmiş olması lazımdır .,"['sularının', 'temizliklerinin']",['lazımdır'],train
"İlk anda duvarda duran basit kâğıt parçacıkları onlar ama biraz daha uzaktan baktığınızda , Van Gogh'un "" Yıldızlı Gece "" adlı yapıtının aynısını görüyorsunuz .",['onlar'],['parçacıkları'],train
Bundan benim de haberim vardı .,['haberim'],['vardı'],train
"Selim , o gece uykusundan acıyla uyandı .",['Selim'],['uyandı'],train
"Üzerimin kirli olduğunu görünce , geceyi sokakta geçirdiğimi anladı .",['Üzerimin'],['anladı'],train
Bu tarihler dışında yapılan çıkışları kış çıkışı sayılmaz diye ilave ettim .,['çıkışları'],['ilave'],train
Ama bazıları başka adlarla da anarlar .,['bazıları'],['anarlar'],train
"Uranüs , kendi burcu Kova'da güçlüyken güçlü yken Aslan'da zayıflar , Akrep'te ise yücelir .",['Uranüs'],['zayıflar'],train
"Durum hakkında Türkçe Sözlük şöyle der : "" Bir zaman kesiti içinde bir şeyi belirleyen koşulların tümü .",['Türkçe'],['der'],train
"İnsanlar merak eder durur , evlilik niye sevgililik gibi değildir diye .","['İnsanlar', 'evlilik']",['merak'],train
Babası şaşırmıştı şaşırmış tı :,['Babası'],['şaşırmış'],train
"Albüm yeni ; ama , içinde mutlaka bir eski var .","['Albüm', 'eski']",['yeni'],train
Arada trafiği durdurup yayaları geçirmesi gerek .,['geçirmesi'],['gerek'],train
"Del Bosque karşısında hem CAS ( Spor Tahkim Mahkemesi ) , hem de İsviçre Federal Mahkemesi karşısında boyun büken Beşiktaş , Tigana tarafından da alacağının ödenmediği gerekçesiyle FIFA'ya şikayet edilmişti edilmiş ti .","['Beşiktaş', 'alacağının']",['şikayet'],train
Babam da annem de 'deli oğlan'larının bu işi yapabileceğine bir inandılar bir inanamadılar ama hep yanımda oldular .,"['Babam', ""oğlan'larının""]",['inandılar'],train
"Bizim doğrudan toplumsal gerçekte karşılık bulacağımız , bulmasak da dönüştüreceğimiz duygularımızın başka gerçekliklerle kurduğu karmaşa yüzünden , gerçeğin iplerini açayım derken , kördüğüm ediyoruz .","['Bizim', 'duygularımızın']",['kördüğüm'],train
"Mersin ortaokulunun ikinci sınıfında , şimdi kim , hangi nedenle münasip gördü hatırlamıyorum .",['kim'],['hatırlamıyorum'],train
"Geçtiğimiz hafta içinde G.Antepspor 'a kendi evinde bu sezonki sezonki ki ilk galibiyetini tattıran Denizlispor , kupada da üzülmemek için maça kontrollü başladı .",['Denizlispor'],['başladı'],train
"Gözünden bu gözlükleri çıkarmayan , bayrakla , Mustafa Kemal rozetleriyle , Türk olma gururuyla ilişkisini kesmeyen bir sol , laik cumhuriyeti ( yani Türkiye Devletini ) halkın taleplerinin önüne koyan bir sol , Milli Marş'ın ve MGK'nın iki büyük korkusunu paylaşan bir sol kriz içindedir içinde dir , kriz içinde kalacaktır ve zaten kriz içinde olmasında bir sakınca yoktur yok tur .","['sol', 'cumhuriyeti', 'sakınca']",['içinde'],train
Böyle bir kadındı kadın dı işte rahmetli annem .,['annem'],['kadın'],train
"Bağdat'taki Bağdat'ta ki Ebu Garib Hapishanesi'nde çekilmiş işkence fotoğraflarının yarattığı şok dinmezken dinmez ken , bu kez de Mart 2003'te başlayan işgalin ilk döneminde işkence edildiğine dair fotoğraflar gün yüzüne çıktı .","['fotoğraflarının', 'şok', 'fotoğraflar']",['gün'],train
"Ben bu kadar şey söyledim internet faydaları hakkında , tabi faydası olduğu kadar zararları da var .","['Ben', 'zararları']",['söyledim'],train
"Obama , Clinton ailesi için nasıl bir rol öngördüğünü belirtmedi .",['Obama'],['belirtmedi'],train
"TÜİK , tütün mamulleri üretiminin eylülde yüzde 29.2 azaldığını , TAPDK ise yüzde 12 oranında arttığını bildirdi bildir di .","['TÜİK', 'üretiminin', 'TAPDK']",['bildir'],train
"Çevremizdeki Çevremizde ki yarım duvarlarda , 9 ağustos sabahını anlatan plaketler var .",['plaketler'],['var'],train
""" Heba "" kelimesi chat için kesinlikle uygun bir kelimedir .",['kelimesi'],['kelimedir'],train
Çünkü bu yüzleşme beraberinde bir çok yük getiriyor ama sanalda bu tür yükler taşımıyorsunuz .,['yüzleşme'],['getiriyor'],train
"Yarattığımız halkaların gücüyle hatırlanacağız , hepsi bu .","['hepsi', 'bu']",['hatırlanacağız'],train
* Herkesin tetikleyici yiyeceği farklıdır .,['yiyeceği'],['farklıdır'],train
Klavyede yazılan mesajlar doğrudan cep telefonlarına gönderilebiliyor .,['mesajlar'],['gönderilebiliyor'],train
"Hatta daha da ileri gideyim , Genelkurmay'ın ve tüm askeri yetkililerin ( belki askeri hastanelerin ruh sağlığı bölümlerinde çalışan personel hariç ) mutluluk ve/veya mutsuzluk hakkında herhangi bir şekilde görüş bildirmesini tümüyle yanlış buluyorum .","[""Genelkurmay'ın""]",['ileri'],train
Denizcilikte tarif ederek iş yaptırmaya zaman olmadığından terimler işin yapılması için gerekli süreyi azaltmalı ve anlaşılmayı amaçlar .,"['zaman', 'terimler']",['azaltmalı'],train
CHP sosyalist enternasyonal toplantılarında oradaki orada ki partilerle arasındaki arasında ki farkı göremiyor mu ?,['CHP'],['göremiyor'],train
Ruşen Eşref önüne çıkıp ne istediğini sorunca :,['Ruşen'],['sorunca'],train
"İster erkek ister kadın olsun , kimliğini belirtmekten çekinen bu kişiyi , arada sırada da olsa öylesine merak ediyordum ediyor dum ki ...",['erkek'],['merak'],train
"Kedi , dünyanın her yerinde en çok beslenen hayvandır .",['Kedi'],['hayvandır'],train
"Gazetenin genel yayın yönetmeni , Vatan gazetesinin eski yazı işleri müdürü ve eski CHP Hatay milletvekili İhsan Ada'dır .",['yönetmeni'],['İhsan'],train
Karşı taraf saldırıyor diye mi ?,['taraf'],['saldırıyor'],train
